Id,N1,N2,N3,N4,N5,N6,Date
371,7,28,29,39,42,45,5/12/2018
372,1,6,7,22,31,39,7/12/2018
373,6,8,26,34,40,41,9/12/2018
374,1,3,11,15,27,30,12/12/2018
375,7,16,20,26,30,34,14/12/2018
376,1,14,22,26,35,42,16/12/2018
377,2,10,11,32,40,44,19/12/2018
378,1,7,16,27,29,34,21/12/2018
379,1,3,10,11,16,44,23/12/2018
380,21,28,34,35,41,44,26/12/2018
381,3,22,24,25,31,37,28/12/2018
382,10,19,31,35,42,44,30/12/2018
383,4,14,32,35,36,40,2/1/2019
384,1,8,14,16,19,22,4/1/2019
385,9,22,33,34,35,44,6/1/2019
386,17,27,28,30,33,41,9/1/2019
387,19,21,22,23,25,44,11/1/2019
388,1,20,21,23,26,33,13/01/2019
389,1,8,14,24,31,40,16/01/2019
390,12,15,19,38,40,45,18/01/2019
391,8,16,21,31,35,38,20/01/2019
392,2,9,13,29,33,40,23/01/2019
393,11,13,14,22,30,38,25/01/2019
394,9,11,12,22,27,29,27/01/2019
395,1,4,6,13,37,41,30/01/2019
396,3,4,6,38,39,43,1/2/2019
397,1,2,5,9,23,24,3/2/2019
398,22,24,25,30,33,38,6/2/2019
399,11,12,33,36,39,43,8/2/2019
400,1,11,17,25,29,35,10/2/2019
401,5,11,18,33,37,41,13/02/2019
402,3,22,26,27,30,44,15/02/2019
403,11,12,14,25,29,31,17/02/2019
404,1,10,15,24,37,45,20/02/2019
405,7,10,18,25,44,45,22/02/2019
406,1,7,13,23,32,42,24/02/2019
407,5,12,15,16,25,35,27/02/2019
408,15,23,29,31,38,43,1/3/2019
409,1,13,17,20,30,45,3/3/2019
410,2,7,14,24,40,41,6/3/2019
411,4,14,20,27,32,43,8/3/2019
412,5,24,31,32,42,45,10/3/2019
413,5,16,24,26,34,44,13/03/2019
414,5,10,15,19,38,42,15/03/2019
415,5,6,16,18,24,42,17/03/2019
416,2,7,17,24,29,37,20/03/2019
417,1,3,6,13,18,41,22/03/2019
418,5,17,21,27,34,40,24/03/2019
419,9,12,22,24,30,42,27/03/2019
420,2,19,26,27,30,37,29/03/2019
421,3,5,19,28,31,38,31/03/2019
422,4,11,18,33,34,45,3/4/2019
423,2,7,25,36,38,43,5/4/2019
424,8,10,26,28,32,34,7/4/2019
